epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,291.663,1.96728,3.53227,1.98673,0.13913,0.07115,0.04276,0.01646,2.02805,3.70916,2.07206,0.00197734,0.00197734,0.00197734
4,59.0597,1.88675,3.50248,1.93364,0.16791,0.08893,0.05363,0.02631,1.85398,3.61491,1.88646,0.00195155,0.00195155,0.00195155
5,115.86,1.75935,3.31844,1.83277,0.15897,0.14625,0.07997,0.04572,1.68922,3.48906,1.7527,0.00191441,0.00191441,0.00191441
6,172.228,1.65997,3.14283,1.74295,0.22849,0.18144,0.13666,0.07826,1.57294,3.05052,1.64596,0.00186737,0.00186737,0.00186737
7,224.661,1.60833,3.06823,1.71361,0.2456,0.17589,0.13551,0.08483,1.58194,3.03354,1.66633,0.00181093,0.00181093,0.00181093
8,275.142,1.58732,2.99927,1.68963,0.27504,0.21542,0.17295,0.10466,1.541,2.99606,1.67223,0.00174571,0.00174571,0.00174571
9,325.592,1.54076,2.92953,1.67169,0.26601,0.2332,0.18581,0.12481,1.43551,2.95014,1.55005,0.00167244,0.00167244,0.00167244
10,376.102,1.49002,2.84775,1.61975,0.39891,0.2747,0.24189,0.15709,1.39389,2.85408,1.53961,0.00159191,0.00159191,0.00159191
11,426.408,1.44012,2.75923,1.58757,0.39369,0.27075,0.26098,0.18268,1.39148,2.60504,1.51617,0.001505,0.001505,0.001505
12,476.859,1.42696,2.75395,1.57954,0.36291,0.28458,0.26984,0.19102,1.33761,2.47664,1.48324,0.00141267,0.00141267,0.00141267
13,527.156,1.3806,2.67486,1.56063,0.45376,0.3083,0.30534,0.22461,1.27883,2.36433,1.40822,0.00131593,0.00131593,0.00131593
14,577.51,1.35576,2.60009,1.53288,0.53503,0.30435,0.31443,0.22615,1.26762,2.36766,1.42859,0.00121583,0.00121583,0.00121583
15,628.081,1.32353,2.50785,1.50446,0.55614,0.32806,0.35492,0.25766,1.26987,2.30748,1.42577,0.00111348,0.00111348,0.00111348
16,679.241,1.29773,2.47651,1.47659,0.50782,0.32829,0.35084,0.2567,1.23725,2.29958,1.38584,0.00101,0.00101,0.00101
17,730.047,1.28891,2.45841,1.47459,0.6079,0.34623,0.38227,0.28287,1.2588,2.21575,1.38055,0.000906517,0.000906517,0.000906517
18,780.874,1.24245,2.38673,1.44216,0.62243,0.34783,0.38633,0.29397,1.1661,2.15931,1.34593,0.000804167,0.000804167,0.000804167
19,831.439,1.22018,2.31005,1.43029,0.58839,0.39921,0.42549,0.3309,1.09821,1.99427,1.27553,0.000704073,0.000704073,0.000704073
20,881.949,1.20813,2.29514,1.41809,0.64667,0.40119,0.43663,0.33342,1.14318,2.054,1.3142,0.000607331,0.000607331,0.000607331
21,932.736,1.18513,2.26274,1.40053,0.64311,0.40909,0.44337,0.34752,1.12158,1.96118,1.2882,0.000515,0.000515,0.000515
22,983.385,1.15142,2.20137,1.38109,0.68139,0.43956,0.47054,0.36679,1.09695,1.9495,1.26991,0.000428093,0.000428093,0.000428093
23,1033.89,1.12209,2.14314,1.35785,0.64681,0.417,0.46283,0.36918,1.09706,1.9425,1.26807,0.000347561,0.000347561,0.000347561
24,1084.29,1.10779,2.10713,1.35564,0.71201,0.41502,0.47816,0.37284,1.06419,1.88712,1.25074,0.000274287,0.000274287,0.000274287
25,1134.83,1.09195,2.06631,1.33729,0.6716,0.44071,0.48999,0.38007,1.07176,1.88323,1.25246,0.000209073,0.000209073,0.000209073
26,1186.75,1.0753,1.96939,1.32833,0.71027,0.40696,0.48316,0.38496,1.06311,1.88337,1.2447,0.000152635,0.000152635,0.000152635
27,1235.67,1.05108,1.93997,1.30575,0.71322,0.41777,0.49475,0.39247,1.04334,1.83872,1.2324,0.00010559,0.00010559,0.00010559
28,1284.97,1.06065,1.94727,1.31787,0.78753,0.41021,0.50596,0.39973,1.03371,1.80675,1.22395,6.8454e-05,6.8454e-05,6.8454e-05
29,1333.95,1.03848,1.8998,1.30257,0.71387,0.42292,0.50775,0.3999,1.03099,1.78981,1.22788,4.16339e-05,4.16339e-05,4.16339e-05
30,1382.94,1.03488,1.88455,1.2928,0.70707,0.42688,0.51204,0.40354,1.03119,1.79411,1.22677,2.54233e-05,2.54233e-05,2.54233e-05
