epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.357,1.62136,4.32478,1.75067,0.09039,0.07312,0.0239,0.01059,2.22652,6.31321,2.38212,0.000665631,0.000665631,0.000665631
2,476.347,1.89894,3.47323,2.00247,0.20027,0.04743,0.03352,0.01434,2.38242,3.842,2.5179,0.00133139,0.00133139,0.00133139
3,628.149,1.82092,3.41433,1.95818,0.19748,0.083,0.06056,0.03124,1.89754,3.6194,2.08756,0.00199354,0.00199354,0.00199354
4,779.5,1.73511,3.3068,1.89508,0.18176,0.10079,0.06111,0.03115,1.98851,3.74137,2.09128,0.00198781,0.00198781,0.00198781
5,930.76,1.62854,3.14754,1.82366,0.22325,0.16529,0.11496,0.06377,1.66635,3.31868,1.82792,0.00197837,0.00197837,0.00197837
6,1085.79,1.55976,3.01542,1.74973,0.28865,0.18379,0.13996,0.0759,1.58641,3.07404,1.77661,0.00196627,0.00196627,0.00196627
7,1246,1.51931,2.97626,1.71708,0.2262,0.21937,0.15707,0.09671,1.55746,2.9054,1.73715,0.00195155,0.00195155,0.00195155
8,1406.01,1.45845,2.87256,1.68284,0.324,0.2668,0.20755,0.13275,1.43308,2.71057,1.65444,0.00193424,0.00193424,0.00193424
9,1566.39,1.40525,2.73912,1.64201,0.38835,0.24704,0.24241,0.15692,1.39758,2.67327,1.63902,0.00191441,0.00191441,0.00191441
10,1722.55,1.39004,2.72904,1.62334,0.4613,0.31308,0.30368,0.20455,1.39441,2.60309,1.60368,0.0018921,0.0018921,0.0018921
11,1873.17,1.36583,2.6443,1.60487,0.58082,0.29249,0.33214,0.21906,1.37853,2.49027,1.57543,0.00186737,0.00186737,0.00186737
12,2024.7,1.34941,2.61664,1.58391,0.47812,0.3083,0.30834,0.20086,1.44084,2.50582,1.62307,0.00184028,0.00184028,0.00184028
13,2176.1,1.34172,2.56539,1.57033,0.49436,0.33004,0.32802,0.2286,1.27022,2.36916,1.47613,0.00181093,0.00181093,0.00181093
14,2327.59,1.2982,2.47209,1.53193,0.62618,0.33399,0.38717,0.27704,1.24293,2.24296,1.45436,0.00177937,0.00177937,0.00177937
15,2478.84,1.26828,2.42674,1.51799,0.56301,0.32411,0.35524,0.25309,1.25613,2.38103,1.47762,0.00174571,0.00174571,0.00174571
16,2630.04,1.2646,2.41284,1.51636,0.61338,0.37626,0.41358,0.29339,1.22158,2.09889,1.42633,0.00171004,0.00171004,0.00171004
17,2781.36,1.23497,2.37529,1.49237,0.62176,0.38933,0.43642,0.32019,1.16205,2.03285,1.37496,0.00167244,0.00167244,0.00167244
18,2932.96,1.23722,2.34365,1.50011,0.63727,0.39328,0.4384,0.32663,1.15578,2.02015,1.40128,0.00163303,0.00163303,0.00163303
19,3087.41,1.2044,2.23231,1.47038,0.62192,0.40514,0.4597,0.34515,1.12347,1.96437,1.36626,0.00159191,0.00159191,0.00159191
20,3245.57,1.19348,2.20829,1.46969,0.67473,0.45096,0.49871,0.3645,1.13419,1.88874,1.37255,0.00154919,0.00154919,0.00154919
21,3405.93,1.17467,2.17179,1.4416,0.69045,0.39526,0.46054,0.34466,1.12928,1.95616,1.33654,0.001505,0.001505,0.001505
22,3565.87,1.16416,2.17849,1.44448,0.66702,0.47506,0.49743,0.38305,1.10515,1.8049,1.32814,0.00145945,0.00145945,0.00145945
23,3720.45,1.14869,2.12856,1.41151,0.6737,0.47332,0.51875,0.39696,1.09409,1.79833,1.30869,0.00141267,0.00141267,0.00141267
24,3871.53,1.14189,2.11349,1.41929,0.72753,0.42743,0.50973,0.39347,1.06049,1.75489,1.28482,0.00136478,0.00136478,0.00136478
25,4033.04,1.1224,2.07309,1.40429,0.65922,0.51186,0.54853,0.41703,1.02836,1.74317,1.28086,0.00131593,0.00131593,0.00131593
26,4203.61,1.09708,2.02873,1.39138,0.68338,0.52372,0.57199,0.43861,1.02531,1.70939,1.26537,0.00126623,0.00126623,0.00126623
27,4374.12,1.09925,2.02146,1.39331,0.66842,0.51186,0.56321,0.43947,1.0028,1.67968,1.24128,0.00121583,0.00121583,0.00121583
28,4545.41,1.09275,1.97223,1.37769,0.70823,0.51329,0.57124,0.44397,0.9777,1.6258,1.2222,0.00116487,0.00116487,0.00116487
29,4716.54,1.05869,1.92477,1.36386,0.72868,0.51485,0.57726,0.44489,0.98636,1.64736,1.22981,0.00111348,0.00111348,0.00111348
30,4883.36,1.0404,1.88921,1.34254,0.67549,0.55125,0.57987,0.46376,0.91142,1.55418,1.17988,0.00106181,0.00106181,0.00106181
31,5052.15,1.04842,1.89073,1.34977,0.71255,0.55534,0.6051,0.48064,0.93316,1.55504,1.2053,0.00101,0.00101,0.00101
32,5218.66,1.02268,1.86028,1.33446,0.69537,0.56324,0.60286,0.48321,0.91447,1.51469,1.17841,0.000958187,0.000958187,0.000958187
33,5383.8,1.00685,1.77256,1.3261,0.79013,0.55058,0.62873,0.50242,0.90166,1.45765,1.16054,0.000906517,0.000906517,0.000906517
34,5553.79,1.00248,1.78262,1.32084,0.77741,0.56598,0.63286,0.50663,0.90034,1.48774,1.15451,0.00085513,0.00085513,0.00085513
